Move,Score,Matrix,Direction
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",left
2,0,"[2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
3,4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0]",down
4,4,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2]",right
5,8,"[0, 2, 4, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
6,16,"[2, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left
7,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 8, 0, 2]",down
8,20,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 4, 8, 2]",right
9,24,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 8, 4]",down
10,24,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4, 8, 4, 0]",left
11,28,"[4, 8, 4, 2, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
12,28,"[4, 8, 4, 2, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 0, 0]",right
13,40,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 8, 0, 4, 8, 4, 4]",down
14,48,"[0, 0, 0, 0, 4, 0, 2, 0, 8, 0, 0, 0, 4, 8, 8, 0]",left
15,48,"[4, 8, 2, 0, 8, 0, 8, 0, 4, 0, 0, 0, 0, 0, 0, 2]",up
16,64,"[0, 4, 8, 2, 0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 2, 2]",right
17,64,"[0, 0, 0, 2, 0, 0, 2, 16, 0, 0, 8, 4, 0, 4, 2, 2]",down
18,68,"[2, 0, 0, 0, 2, 16, 0, 0, 8, 4, 2, 0, 4, 4, 0, 0]",left
19,80,"[4, 16, 2, 0, 8, 8, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",up
20,96,"[0, 4, 16, 2, 0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 2, 2]",right
21,96,"[0, 0, 0, 2, 0, 0, 4, 16, 0, 0, 16, 4, 0, 4, 2, 2]",down
22,100,"[2, 2, 0, 0, 4, 16, 0, 0, 16, 4, 0, 0, 4, 4, 0, 0]",left
23,112,"[0, 0, 0, 4, 0, 2, 4, 16, 0, 0, 16, 4, 0, 0, 0, 8]",right
24,112,"[0, 2, 4, 4, 2, 0, 16, 16, 0, 0, 0, 4, 0, 0, 0, 8]",up
25,152,"[2, 8, 0, 0, 2, 32, 0, 0, 4, 2, 0, 0, 8, 0, 0, 0]",left
26,180,"[0, 0, 0, 0, 0, 8, 0, 0, 0, 32, 0, 0, 16, 2, 2, 0]",down
27,184,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 32, 2, 0, 16, 4]",right
28,184,"[2, 0, 16, 8, 0, 2, 0, 32, 0, 0, 0, 4, 0, 0, 0, 0]",up
29,184,"[2, 16, 8, 0, 2, 32, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
30,196,"[0, 0, 0, 0, 0, 2, 0, 0, 8, 16, 0, 0, 2, 32, 8, 0]",down
31,196,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 8, 16, 0, 2, 32, 8]",right
32,196,"[2, 0, 0, 0, 2, 0, 0, 0, 8, 16, 0, 0, 2, 32, 8, 2]",left
33,196,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8, 16, 2, 32, 8, 2]",right
34,216,"[2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 16, 2, 32, 16, 2]",down
35,216,"[2, 0, 2, 0, 4, 0, 0, 0, 2, 16, 0, 0, 2, 32, 16, 2]",left
36,220,"[0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 2, 16, 2, 32, 16, 2]",right
