Move,Score,Matrix,Previous_Move
1,0,"[2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
2,0,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",right
3,0,"[2, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0]",up
4,4,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 2]",right
5,8,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 4]",right
6,16,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 8]",right
7,16,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 8]",right
8,20,"[4, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 8]",right
9,28,"[8, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0]",left
10,28,"[0, 0, 8, 2, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 8]",right
11,36,"[2, 0, 8, 2, 0, 0, 4, 8, 0, 0, 0, 8, 0, 0, 0, 0]",up
12,36,"[2, 8, 2, 2, 4, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0]",left
13,40,"[2, 8, 4, 0, 4, 8, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0]",left
14,48,"[0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 4, 0, 8, 16, 2, 0]",down
15,48,"[2, 2, 4, 0, 4, 16, 2, 0, 8, 0, 0, 0, 0, 0, 0, 2]",up
16,48,"[0, 0, 0, 4, 2, 0, 0, 0, 4, 2, 4, 0, 8, 16, 2, 2]",down
17,48,"[0, 0, 0, 0, 2, 0, 2, 0, 4, 2, 4, 4, 8, 16, 2, 2]",down
18,64,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 4, 2, 8, 0, 8, 16, 4]",right
19,64,"[0, 4, 2, 2, 0, 8, 16, 4, 0, 0, 2, 8, 0, 0, 0, 4]",up
20,68,"[0, 2, 4, 4, 0, 8, 16, 4, 0, 0, 2, 8, 0, 0, 0, 4]",right
21,76,"[0, 2, 4, 8, 0, 8, 16, 8, 0, 0, 2, 4, 0, 2, 0, 0]",up
22,92,"[0, 2, 4, 16, 0, 8, 16, 4, 0, 2, 2, 0, 2, 0, 0, 0]",up
23,92,"[0, 0, 0, 2, 0, 2, 4, 0, 0, 8, 16, 16, 2, 2, 2, 4]",down
24,128,"[2, 0, 0, 0, 2, 4, 2, 0, 8, 32, 0, 0, 4, 2, 4, 0]",left
25,128,"[0, 0, 0, 2, 0, 2, 4, 2, 0, 0, 8, 32, 2, 4, 2, 4]",right
26,132,"[2, 2, 4, 4, 0, 4, 8, 32, 0, 0, 2, 4, 0, 0, 2, 0]",up
27,136,"[2, 2, 4, 4, 0, 4, 8, 32, 0, 0, 4, 4, 0, 0, 2, 0]",up
28,136,"[0, 2, 4, 0, 0, 0, 8, 4, 0, 2, 4, 32, 2, 4, 2, 4]",down
29,136,"[2, 4, 2, 0, 8, 4, 0, 0, 2, 4, 32, 0, 2, 4, 2, 4]",left
30,146,"[0, 0, 0, 2, 2, 0, 2, 0, 8, 8, 32, 0, 4, 8, 2, 4]",down
31,166,"[0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 16, 32, 4, 8, 2, 4]",right
32,166,"[4, 2, 16, 2, 0, 8, 2, 4, 0, 0, 2, 32, 0, 0, 0, 4]",up
33,170,"[4, 2, 16, 2, 2, 8, 4, 4, 0, 0, 0, 32, 0, 0, 0, 4]",up
34,178,"[4, 2, 16, 2, 0, 2, 8, 8, 0, 0, 2, 32, 0, 0, 0, 4]",right
35,180,"[0, 2, 0, 2, 0, 0, 16, 8, 0, 0, 8, 32, 4, 4, 2, 4]",down
36,192,"[0, 2, 0, 4, 0, 0, 16, 8, 0, 0, 8, 32, 0, 8, 2, 4]",right
37,192,"[0, 0, 0, 4, 2, 0, 16, 8, 0, 2, 8, 32, 0, 8, 2, 4]",down
38,192,"[0, 0, 0, 4, 0, 2, 16, 8, 0, 2, 8, 32, 2, 8, 2, 4]",down
39,194,"[0, 0, 0, 4, 0, 0, 16, 8, 2, 4, 8, 32, 2, 8, 2, 4]",down
40,194,"[4, 2, 0, 0, 16, 8, 0, 0, 2, 4, 8, 32, 2, 8, 2, 4]",left
41,198,"[4, 2, 8, 32, 16, 8, 2, 4, 4, 4, 0, 2, 0, 8, 0, 0]",up
42,206,"[4, 2, 8, 32, 16, 8, 2, 4, 8, 2, 0, 0, 8, 0, 2, 0]",left
43,206,"[4, 2, 8, 32, 16, 8, 2, 4, 2, 0, 8, 2, 0, 0, 8, 2]",right
44,206,"[4, 2, 8, 32, 16, 8, 2, 4, 2, 8, 2, 0, 8, 2, 0, 2]",left
45,226,"[4, 2, 8, 32, 16, 16, 4, 4, 2, 2, 0, 2, 8, 0, 2, 0]",up
46,226,"[4, 0, 0, 2, 16, 2, 8, 32, 2, 16, 4, 4, 8, 2, 2, 2]",down
47,238,"[0, 0, 4, 2, 16, 2, 8, 32, 2, 2, 16, 8, 0, 8, 2, 4]",right
48,242,"[0, 2, 4, 2, 16, 2, 8, 32, 0, 4, 16, 8, 0, 8, 2, 4]",right
49,242,"[2, 4, 2, 0, 16, 2, 8, 32, 4, 16, 8, 2, 8, 2, 4, 0]",left
50,242,"[0, 2, 4, 2, 16, 2, 8, 32, 4, 16, 8, 2, 2, 8, 2, 4]",right
51,262,"[16, 4, 4, 2, 4, 16, 16, 32, 2, 8, 2, 2, 2, 0, 0, 4]",up
52,266,"[16, 4, 4, 2, 4, 16, 16, 32, 4, 8, 2, 2, 2, 0, 0, 4]",up
53,270,"[0, 0, 2, 2, 16, 4, 4, 32, 8, 16, 16, 2, 2, 8, 2, 4]",down
54,274,"[4, 0, 4, 0, 16, 4, 4, 32, 8, 16, 16, 2, 2, 8, 2, 4]",left
55,322,"[0, 0, 0, 8, 2, 16, 8, 32, 0, 8, 32, 2, 2, 8, 2, 4]",right
56,332,"[0, 0, 0, 8, 0, 2, 8, 32, 0, 16, 32, 2, 4, 16, 2, 4]",down
57,332,"[8, 2, 0, 0, 2, 8, 32, 0, 16, 32, 2, 0, 4, 16, 2, 4]",left
58,334,"[8, 2, 2, 0, 2, 8, 0, 0, 16, 32, 32, 0, 4, 16, 4, 4]",down
59,334,"[8, 2, 2, 4, 2, 8, 32, 0, 16, 32, 4, 2, 4, 16, 0, 0]",up
60,338,"[8, 4, 4, 4, 2, 8, 32, 0, 16, 32, 4, 2, 4, 16, 0, 0]",left
61,346,"[0, 8, 4, 8, 2, 2, 8, 32, 16, 32, 4, 2, 0, 0, 4, 16]",right
62,354,"[2, 8, 4, 8, 16, 2, 8, 32, 2, 32, 8, 2, 0, 0, 0, 16]",up
63,370,"[2, 8, 4, 8, 16, 2, 16, 32, 2, 32, 2, 2, 0, 0, 0, 16]",up
64,370,"[0, 2, 0, 8, 2, 8, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",down
65,370,"[2, 0, 2, 8, 2, 8, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",right
66,374,"[4, 8, 0, 2, 2, 8, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",left
67,382,"[4, 0, 2, 2, 2, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",down
68,386,"[2, 0, 4, 4, 2, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",right
69,394,"[2, 8, 0, 2, 2, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",left
70,394,"[2, 2, 8, 2, 2, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",right
71,398,"[2, 4, 8, 2, 2, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",right
72,400,"[2, 4, 8, 2, 4, 16, 4, 32, 16, 2, 16, 2, 2, 32, 2, 16]",down
