Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",down
3,4,"[0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",right
4,4,"[0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4]",right
5,6,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 4]",down
6,10,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0, 8]",down
7,10,"[0, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 2, 8, 0, 0]",left
8,12,"[0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8, 0, 2]",down
9,24,"[8, 8, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up
10,24,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 8, 8, 0, 2]",down
11,24,"[8, 8, 2, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
12,44,"[0, 16, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0]",right
13,44,"[16, 2, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]",left
14,44,"[16, 2, 4, 2, 4, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up
15,46,"[0, 0, 0, 0, 16, 0, 0, 0, 4, 0, 2, 0, 2, 4, 4, 2]",down
16,46,"[16, 4, 2, 2, 4, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0]",up
17,50,"[16, 4, 4, 0, 4, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 2]",left
18,54,"[0, 0, 0, 2, 16, 0, 0, 0, 4, 4, 0, 0, 2, 8, 4, 2]",down
19,56,"[0, 0, 0, 0, 16, 0, 0, 0, 4, 4, 2, 0, 2, 8, 4, 4]",down
20,56,"[16, 4, 2, 4, 4, 8, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0]",up
21,56,"[16, 4, 2, 4, 0, 4, 8, 4, 4, 0, 0, 2, 0, 0, 0, 2]",right
22,56,"[16, 4, 2, 4, 4, 8, 4, 0, 4, 2, 0, 0, 2, 0, 2, 0]",left
23,64,"[16, 4, 2, 4, 8, 8, 4, 0, 2, 2, 2, 0, 0, 0, 0, 2]",up
24,84,"[16, 4, 2, 4, 0, 0, 16, 4, 2, 0, 2, 4, 0, 0, 0, 2]",right
25,92,"[16, 4, 2, 8, 2, 0, 16, 4, 0, 0, 2, 2, 0, 2, 0, 0]",up
26,96,"[16, 4, 2, 8, 2, 16, 4, 0, 4, 0, 0, 0, 2, 0, 0, 2]",left
27,100,"[16, 4, 2, 8, 0, 2, 16, 4, 0, 2, 0, 4, 0, 0, 0, 4]",right
28,100,"[16, 4, 2, 8, 2, 16, 4, 0, 2, 4, 0, 2, 4, 0, 0, 0]",left
29,100,"[16, 4, 2, 8, 0, 2, 16, 4, 0, 2, 4, 2, 2, 0, 0, 4]",right
30,102,"[0, 0, 2, 8, 0, 0, 2, 4, 16, 4, 16, 2, 2, 4, 4, 4]",down
