Move,mean,max,min
1,0.0,0,0
2,0.72,8,0
3,2.316,12,0
4,3.828,12,0
5,6.416,20,0
6,9.548,28,0
7,12.492,32,2
8,15.412,36,2
9,18.808,42,2
10,22.292,50,4
11,26.38,56,8
12,30.98,56,8
13,35.444,60,10
14,40.312,64,10
15,45.316,70,10
16,49.828,86,16
17,54.364,88,20
18,59.308,120,28
19,64.424,124,34
20,70.404,136,36
21,75.848,136,40
22,82.56,146,46
23,88.308,152,50
24,94.128,166,54
25,100.908,174,58
26,107.5,174,60
27,113.652,174,60
28,119.576,178,68
29,127.104,184,72
30,134.956,190,72
31,141.636,190,72
32,147.88,208,76
33,153.624,234,92
34,159.032,234,96
35,165.096,292,104
36,171.728,292,110
37,178.7,292,110
38,186.364,306,110
39,193.812,332,114
40,200.704,334,118
41,208.344,342,122
42,215.544,342,136
43,224.996,348,140
44,233.3,364,142
45,242.24,364,150
46,250.72945891783567,364,162
47,259.30120481927713,372,166
48,267.8072289156627,402,186
49,277.3440643863179,404,190
50,285.69818913480884,414,190
51,294.80161943319837,414,202
52,304.34412955465586,422,202
53,313.2048681541582,442,202
54,320.6910569105691,446,202
55,330.61914460285135,460,216
56,339.39591836734695,464,224
57,349.7289527720739,464,224
58,358.2956878850103,464,232
59,368.2345679012346,468,250
60,376.1687242798354,480,258
61,383.74074074074076,486,258
62,392.89300411522635,510,262
63,401.09690721649486,514,266
64,410.3070539419087,514,290
65,418.87866108786613,514,314
66,427.4579831932773,526,316
67,435.93220338983053,562,316
68,443.8771186440678,578,324
69,452.66098081023455,614,340
70,461.8279569892473,690,344
71,469.9524838012959,698,350
72,478.0218818380744,756,356
73,486.6387665198238,758,356
74,496.1380846325167,758,360
75,505.49775784753365,758,370
76,514.6337078651685,758,378
77,524.7454545454545,762,392
78,535.0983981693364,776,400
79,545.743119266055,792,402
80,556.0923787528868,806,402
81,568.0559440559441,818,406
82,579.5801886792453,822,448
83,591.4114832535885,832,468
84,603.1428571428571,832,478
85,618.479012345679,832,482
86,629.542288557214,856,498
87,641.2613065326633,856,498
88,654.6205128205128,862,502
89,668.6684210526316,862,506
90,682.3396226415094,874,514
91,697.1857923497267,892,536
92,709.6243093922652,896,544
93,723.2954545454545,908,558
94,736.9510086455332,908,562
95,752.6117647058824,918,566
96,763.3827893175074,926,572
97,775.1736526946107,958,576
98,787.2121212121212,974,584
99,800.9447852760736,978,588
100,813.7258566978193,982,618
101,826.4779874213837,996,620
102,836.7682539682539,1018,622
103,845.4140127388536,1022,626
104,855.5974440894569,1024,634
105,865.9358974358975,1038,648
106,880.1770491803279,1046,654
107,891.6556291390729,1080,658
108,904.5521885521886,1082,682
109,915.8503401360545,1086,690
110,924.5704467353952,1090,694
111,934.719723183391,1132,694
112,946.950354609929,1140,722
113,957.5667870036101,1148,726
114,969.1555555555556,1148,730
115,978.2388059701492,1148,742
116,987.0494296577947,1160,758
117,996.911196911197,1160,758
118,1008.2362204724409,1160,760
119,1018.1295546558705,1162,764
120,1027.7469387755102,1198,776
121,1036.7666666666667,1202,776
122,1045.26582278481,1202,792
123,1054.987012987013,1210,794
124,1062.7105263157894,1230,798
125,1073.669642857143,1258,830
126,1084.392523364486,1258,894
127,1094.5550239234449,1322,904
128,1103.2878048780487,1322,908
129,1111.145728643216,1326,916
130,1122.174358974359,1594,920
131,1130.6596858638743,1594,956
132,1138.8770053475937,1614,956
133,1146.9347826086957,1630,956
134,1156.3370786516855,1634,964
135,1164.5454545454545,1634,976
136,1173.0,1634,984
137,1183.2906976744187,1714,988
138,1194.6545454545455,1722,996
139,1205.962962962963,1732,1054
140,1217.6815286624203,1772,1058
141,1235.32,1772,1066
142,1250.3239436619717,1772,1076
143,1264.888888888889,1780,1088
144,1278.7878787878788,1782,1090
145,1293.4098360655737,1786,1128
146,1307.344827586207,1794,1138
147,1322.3859649122808,1794,1142
148,1339.7614678899083,1806,1146
149,1359.137254901961,1826,1150
150,1368.9,1826,1154
151,1387.5744680851064,1826,1154
152,1410.4772727272727,1828,1184
153,1423.270588235294,1836,1192
154,1449.1707317073171,1844,1208
155,1464.275,1848,1212
156,1486.3636363636363,1852,1216
157,1492.5714285714287,1860,1224
158,1504.6315789473683,1860,1228
159,1518.2702702702702,1882,1236
160,1528.9014084507041,1894,1252
161,1551.0882352941176,1902,1252
162,1572.2121212121212,1918,1264
163,1595.2459016393443,1952,1272
164,1619.084745762712,1952,1280
165,1634.448275862069,1958,1300
166,1658.7636363636364,1958,1356
167,1678.2264150943397,1960,1376
168,1699.28,1964,1376
169,1714.4583333333333,1972,1380
170,1726.4,1972,1384
171,1747.9545454545455,1988,1384
172,1752.4651162790697,2002,1412
173,1772.878048780488,2008,1434
174,1789.75,2008,1450
175,1804.5128205128206,2016,1454
176,1846.0555555555557,2032,1500
177,1858.7058823529412,2032,1508
178,1863.8823529411766,2032,1544
179,1872.1818181818182,2044,1548
180,1882.7878787878788,2060,1572
181,1901.1612903225807,2060,1636
182,1921.6,2064,1636
183,1927.2,2072,1640
184,1932.4,2076,1640
185,1940.3333333333333,2076,1652
186,1944.7586206896551,2088,1668
187,1951.2413793103449,2104,1684
188,1956.9655172413793,2108,1684
189,1962.2222222222222,2108,1688
190,1972.6666666666667,2128,1688
191,1980.0,2132,1692
192,2006.5,2132,1858
193,2010.695652173913,2152,1858
194,2020.8695652173913,2152,1862
195,2026.090909090909,2156,1862
196,2027.7142857142858,2138,1862
197,2034.7619047619048,2174,1862
198,2048.8571428571427,2186,1870
199,2061.1428571428573,2226,1874
200,2073.4,2226,1926
201,2083.9,2228,1930
202,2098.0,2262,1934
203,2122.9473684210525,2264,1942
204,2130.6315789473683,2266,1958
205,2134.1176470588234,2266,2020
206,2148.9333333333334,2278,2024
207,2166.3076923076924,2278,2042
208,2173.3846153846152,2282,2042
209,2188.7272727272725,2310,2042
210,2194.0,2326,2050
211,2213.3333333333335,2326,2144
212,2223.1111111111113,2326,2148
213,2231.3333333333335,2330,2156
214,2235.1111111111113,2330,2158
215,2239.777777777778,2334,2170
216,2232.0,2334,2170
217,2245.714285714286,2346,2172
218,2249.1428571428573,2346,2176
219,2256.8571428571427,2350,2188
220,2267.714285714286,2350,2188
221,2271.714285714286,2358,2192
222,2271.3333333333335,2360,2196
223,2290.0,2376,2204
224,2294.3333333333335,2388,2206
225,2298.6666666666665,2392,2222
226,2306.0,2392,2254
227,2326.0,2400,2258
228,2320.0,2400,2274
229,2355.0,2406,2304
230,2361.0,2406,2318
231,2380.0,2414,2326
232,2386.0,2418,2336
233,2391.3333333333335,2422,2336
234,2394.0,2416,2372
235,2399.0,2424,2374
236,2400.0,2426,2374
237,2378.0,2378,2378
238,2386.0,2386,2386
239,2386.0,2386,2386
240,2462.0,2462,2462
241,2482.0,2482,2482
242,2490.0,2490,2490
243,2506.0,2506,2506
244,2508.0,2508,2508
245,2510.0,2510,2510
246,2510.0,2510,2510
247,2518.0,2518,2518
248,2518.0,2518,2518
249,2522.0,2522,2522
250,2530.0,2530,2530
251,2532.0,2532,2532
252,2532.0,2532,2532
253,2536.0,2536,2536
