Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,2
2,2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",down,4
3,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4]",right,4
4,2,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4]",down,4
5,2,"[0, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0]",left,4
6,2,"[4, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0]",left,4
7,6,"[0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 4]",right,4
8,10,"[0, 0, 0, 0, 4, 0, 0, 8, 0, 0, 0, 2, 0, 2, 2, 4]",down,8
9,14,"[0, 0, 0, 0, 0, 0, 4, 8, 0, 0, 2, 2, 0, 0, 4, 4]",right,8
10,26,"[0, 0, 0, 0, 0, 0, 4, 8, 2, 0, 0, 4, 0, 0, 0, 8]",right,8
11,26,"[0, 2, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 2, 0, 4, 8]",down,8
12,26,"[2, 2, 4, 8, 0, 0, 0, 4, 0, 0, 0, 8, 0, 2, 0, 0]",up,8
13,28,"[0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 0, 4, 2, 4, 4, 8]",down,8
14,28,"[2, 4, 2, 8, 0, 0, 4, 4, 0, 0, 0, 8, 0, 2, 0, 0]",up,8
15,28,"[2, 4, 2, 8, 0, 2, 4, 4, 0, 0, 0, 8, 0, 0, 0, 2]",up,8
16,36,"[2, 4, 2, 8, 2, 8, 0, 0, 8, 0, 0, 0, 2, 0, 2, 0]",left,8
17,40,"[2, 4, 2, 8, 0, 2, 2, 8, 0, 0, 0, 8, 0, 0, 0, 4]",right,8
18,44,"[2, 4, 2, 8, 4, 8, 0, 0, 8, 0, 2, 0, 4, 0, 0, 0]",left,8
19,44,"[2, 4, 2, 8, 0, 0, 4, 8, 2, 0, 8, 2, 0, 0, 0, 4]",right,8
