Move,mean,max,min
1,0.0,0,0
2,1.272,8,0
3,3.62,12,0
4,5.92,12,0
5,10.16,16,2
6,14.588,20,4
7,17.608,28,4
8,20.968,44,4
9,26.372,48,12
10,32.596,52,14
11,39.392,56,16
12,45.452,60,20
13,51.292,68,24
14,56.128,72,30
15,60.812,108,34
16,65.776,120,34
17,71.752,128,34
18,79.112,132,38
19,87.932,136,48
20,96.048,140,48
21,104.656,144,72
22,112.892,152,74
23,122.324,164,74
24,130.884,172,78
25,139.084,176,82
26,147.516,180,86
27,154.04,184,96
28,161.316,188,100
29,168.044,204,104
30,174.372,208,108
31,180.888,270,108
32,187.6,308,128
33,194.52,308,128
34,202.384,324,132
35,209.984,324,136
36,219.02,328,144
37,228.58,344,144
38,238.04,352,150
39,248.252,360,160
40,259.312,362,160
41,271.94,368,180
42,283.156,380,184
43,293.428,384,196
44,306.136,416,200
45,316.66,420,200
46,327.604,424,220
47,337.632,432,224
48,348.24,438,248
49,357.7955911823647,446,248
50,367.90380761523045,448,258
51,377.55110220440883,462,266
52,387.7595190380762,470,266
53,396.9899799599198,474,274
54,407.3947895791583,480,278
55,416.685370741483,500,282
56,425.5751503006012,568,286
57,435.2865731462926,696,296
58,444.23647294589176,696,308
59,453.4509018036072,708,308
60,462.28456913827654,722,328
61,470.32865731462925,722,334
62,479.1382765531062,728,340
63,487.7034068136273,744,344
64,497.33867735470943,752,346
65,507.563126252505,752,348
66,517.6136820925553,760,356
67,528.1368209255534,772,360
68,539.1227364185111,788,360
69,549.7344064386318,792,368
70,561.0744466800804,796,384
71,571.9637826961771,804,404
72,583.4124748490946,816,440
73,594.4265593561369,824,448
74,605.8591549295775,828,448
75,618.6599597585513,828,460
76,632.5875251509054,850,480
77,646.9215291750503,854,504
78,661.3629032258065,876,508
79,675.383064516129,892,512
80,689.0604838709677,896,520
81,702.339393939394,904,536
82,714.9818181818182,904,536
83,727.3454545454546,910,548
84,738.1663286004057,920,552
85,749.9432048681541,930,556
86,762.269387755102,930,564
87,776.6954732510288,934,568
88,788.687242798354,948,568
89,803.0186335403727,980,620
90,813.5155279503106,1044,624
91,824.9541666666667,1052,644
92,837.7708333333334,1060,652
93,849.6820083682009,1064,670
94,862.8294736842105,1064,674
95,875.2489451476794,1072,680
96,888.9556025369978,1092,688
97,900.2584745762712,1096,702
98,912.9036402569593,1104,706
99,924.3562231759656,1106,714
100,936.2597402597403,1122,720
101,949.1633986928105,1126,724
102,960.9605263157895,1134,732
103,972.75,1138,748
104,983.2527472527472,1138,754
105,996.401766004415,1156,758
106,1010.7410714285714,1170,774
107,1023.2125279642058,1172,774
108,1037.8108108108108,1182,774
109,1051.1221719457014,1204,830
110,1062.5272727272727,1204,832
111,1074.8018223234624,1208,832
112,1086.5753424657535,1208,836
113,1098.302752293578,1222,840
114,1108.8433179723502,1226,848
115,1121.0139534883722,1246,898
116,1133.4452214452215,1250,922
117,1143.7798594847775,1250,926
118,1154.1929411764706,1264,926
119,1165.5704057279236,1264,934
120,1177.2771084337348,1284,954
121,1188.0192771084337,1348,974
122,1197.7530266343826,1352,978
123,1208.8731707317072,1356,978
124,1219.3169533169532,1364,982
125,1230.8407960199006,1378,990
126,1240.9974937343359,1378,1010
127,1250.842105263158,1388,1038
128,1263.0558375634519,1528,1054
129,1271.7749360613811,1528,1058
130,1283.3435897435897,1738,1062
131,1296.0568475452196,1742,1070
132,1310.3097112860892,1762,1086
133,1327.2042440318303,1806,1122
134,1339.0860215053763,1806,1122
135,1350.8010752688172,1858,1176
136,1366.0708446866486,1866,1176
137,1381.763085399449,1874,1176
138,1397.1030640668523,1874,1214
139,1417.4858757062148,1882,1242
140,1430.9431818181818,1898,1246
141,1444.7109826589594,1902,1250
142,1462.0949554896142,1902,1254
143,1475.5808383233532,1906,1302
144,1488.8909090909092,1918,1314
145,1505.4830769230769,1930,1314
146,1521.0467289719627,1962,1314
147,1540.422077922078,1966,1328
148,1556.5544554455446,1974,1336
149,1573.6107382550335,1986,1356
150,1587.9658703071673,1990,1376
151,1604.01384083045,1990,1386
152,1623.0604982206405,1998,1396
153,1636.6159420289855,2002,1400
154,1661.3880597014925,2062,1400
155,1677.9242424242425,2066,1402
156,1703.251968503937,2090,1414
157,1723.7154471544716,2094,1422
158,1745.3553719008264,2102,1430
159,1761.425,2102,1446
160,1779.3617021276596,2106,1450
161,1796.4568965517242,2114,1450
162,1815.3422222222223,2118,1470
163,1832.467889908257,2158,1506
164,1848.3055555555557,2158,1506
165,1872.3846153846155,2162,1518
166,1883.584541062802,2178,1526
167,1898.2536585365854,2178,1530
168,1916.1674876847292,2192,1534
169,1933.537688442211,2196,1542
170,1951.1649484536083,2202,1558
171,1962.7461139896373,2210,1562
172,1976.7434554973822,2216,1566
173,1995.978835978836,2220,1566
174,2015.021505376344,2236,1574
175,2026.7173913043478,2244,1578
176,2041.4945054945056,2248,1578
177,2061.8988764044943,2294,1676
178,2081.405714285714,2302,1676
179,2099.271676300578,2306,1680
180,2112.46783625731,2310,1688
181,2125.9166666666665,2314,1704
182,2138.8242424242426,2314,1756
183,2151.9506172839506,2352,1760
184,2168.8607594936707,2356,1768
185,2178.687898089172,2360,1784
186,2190.0387096774193,2450,1788
187,2198.825806451613,2454,1796
188,2210.4025974025976,2496,1800
189,2225.157894736842,2520,1820
190,2236.6666666666665,2520,1864
191,2246.8611111111113,2528,1888
192,2265.9424460431655,2548,1928
193,2276.753623188406,2552,1932
194,2294.3382352941176,2572,1944
195,2306.3555555555554,2604,1944
196,2317.287878787879,2608,1956
197,2330.590909090909,2612,1972
198,2340.1384615384613,2620,1972
199,2353.511811023622,2620,1980
200,2366.910569105691,2644,1980
201,2383.5966386554624,2648,1984
202,2398.084745762712,2648,1992
203,2419.754385964912,2652,2090
204,2434.9821428571427,2660,2110
205,2450.1100917431195,2664,2110
206,2465.1650485436894,2672,2124
