Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0]",down,2
2,4,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,4
3,4,"[0, 0, 4, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,4
4,4,"[4, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left,4
5,8,"[0, 0, 4, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",right,4
6,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 4, 4]",down,4
7,20,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 8]",right,8
8,20,"[4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 8, 0, 0]",left,8
9,28,"[8, 8, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,8
10,44,"[0, 0, 16, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2]",right,16
11,48,"[0, 0, 16, 4, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up,16
12,52,"[0, 0, 16, 4, 0, 0, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,16
13,60,"[0, 0, 16, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0]",up,16
14,64,"[0, 2, 16, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
15,64,"[2, 16, 8, 0, 4, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,16
16,72,"[0, 2, 16, 8, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0, 2]",right,16
17,92,"[0, 4, 16, 16, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
18,124,"[0, 0, 4, 32, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2]",right,32
19,128,"[2, 0, 4, 32, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
20,128,"[0, 2, 4, 32, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2]",right,32
21,132,"[0, 2, 4, 32, 0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0]",up,32
22,144,"[0, 4, 4, 32, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 0, 0]",up,32
23,152,"[0, 0, 8, 32, 0, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0]",right,32
24,152,"[0, 0, 8, 32, 0, 0, 2, 8, 0, 0, 0, 2, 0, 2, 0, 0]",right,32
25,152,"[8, 32, 0, 0, 2, 8, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0]",left,32
26,156,"[8, 32, 0, 2, 4, 8, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
27,160,"[8, 32, 0, 4, 4, 8, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",up,32
28,164,"[8, 32, 0, 4, 4, 8, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",up,32
29,172,"[8, 32, 0, 4, 8, 8, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",up,32
30,188,"[16, 32, 2, 4, 2, 8, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,32
31,192,"[16, 32, 4, 4, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,32
32,200,"[0, 16, 32, 8, 2, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right,32
33,216,"[2, 16, 32, 16, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
34,220,"[2, 16, 32, 16, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 0, 0]",up,32
