Move,mean,max,min
1,0.0,0,0
2,1.247216035634744,8,0
3,3.287305122494432,12,0
4,5.488839285714286,12,0
5,9.591061452513966,20,0
6,13.305027932960893,36,0
7,16.225698324022346,40,2
8,19.381005586592178,44,2
9,24.205586592178772,48,6
10,30.444692737430167,52,10
11,36.28603351955307,56,12
12,41.890502793296086,60,16
13,46.90055865921788,64,16
14,51.37877094972067,80,22
15,55.60670391061453,116,26
16,60.460335195530725,120,28
17,65.71620111731843,124,30
18,71.736312849162,128,40
19,79.06368715083799,130,40
20,86.4782122905028,140,48
21,94.25921787709497,144,50
22,102.18547486033519,160,50
23,109.95083798882682,164,54
24,117.48156424581006,168,62
25,125.06368715083799,184,66
26,132.31508379888268,188,76
27,139.05474860335195,188,76
28,145.44581005586593,188,80
29,152.44916201117317,220,82
30,158.78212290502793,274,90
31,165.0659217877095,278,102
32,171.1463687150838,278,108
33,177.7094972067039,308,114
34,184.49832402234637,312,118
35,192.78882681564247,326,122
36,200.96759776536314,326,126
37,210.33296089385476,346,134
38,219.78324022346368,350,140
39,229.23351955307263,350,144
40,239.64245810055866,368,160
41,249.18659217877095,368,160
42,259.99329608938547,368,160
43,271.2625698324022,378,164
44,282.0871508379888,386,164
45,292.9072625698324,422,172
46,303.17988826815645,430,172
47,313.07039106145254,434,180
48,322.2435754189944,434,200
49,330.945251396648,440,210
50,339.7340782122905,448,222
51,348.63240223463686,452,228
52,357.42729306487695,466,230
53,366.8993288590604,466,230
54,376.18791946308727,478,234
55,384.8814317673378,482,242
56,393.65548098434004,488,246
57,402.0447427293065,488,254
58,411.1006711409396,498,254
59,418.92393736017897,508,270
60,427.12975391498884,544,272
61,435.2013422818792,616,284
62,442.2281879194631,660,308
63,449.0738255033557,664,310
64,456.758389261745,672,318
65,463.9082774049217,686,340
66,472.81431767337807,756,340
67,480.87472035794184,756,350
68,490.12975391498884,764,358
69,499.37136465324386,786,366
70,510.6002239641657,796,374
71,521.7578475336323,812,382
72,535.0370370370371,816,382
73,548.3636363636364,824,386
74,558.68911335578,824,394
75,570.8112359550562,860,400
76,582.2179775280899,864,400
77,595.676404494382,876,400
78,609.0112359550562,888,404
79,621.6238738738739,892,408
80,634.259009009009,892,408
81,648.6372881355932,900,420
82,659.7802944507362,920,428
83,671.5868331441544,952,432
84,684.9442548350398,956,432
85,696.7525655644241,956,432
86,709.5702857142857,968,436
87,721.3035509736541,972,476
88,733.7497129735935,980,522
89,746.7249712313004,984,528
90,757.3187066974596,988,528
91,769.1865585168018,1040,536
92,779.9066511085181,1048,540
93,792.8004722550177,1064,540
94,803.3864447086802,1064,546
95,815.0191387559809,1068,554
96,825.5227817745804,1072,570
97,836.0818291215403,1080,588
98,847.2279855247286,1086,588
99,858.3030303030303,1090,600
100,869.574209245742,1096,600
101,879.7411477411478,1110,624
102,890.0709914320686,1128,652
103,900.8421052631579,1138,660
104,910.920245398773,1142,662
105,922.7995079950799,1142,666
106,935.1604938271605,1172,668
107,946.5980148883375,1176,676
108,957.0124378109452,1178,700
109,967.3582089552239,1196,708
110,977.3940149625935,1196,710
111,988.0477386934673,1204,724
112,998.9622166246851,1220,732
113,1008.7661188369153,1220,748
114,1018.8498727735368,1224,780
115,1029.3427471116815,1230,806
116,1038.9870466321242,1236,806
117,1048.425974025974,1256,806
118,1058.70925684485,1264,810
119,1069.259842519685,1272,818
120,1079.2582781456954,1404,828
121,1088.605577689243,1416,832
122,1098.0776439089693,1420,832
123,1107.7073825503355,1420,836
124,1116.3751686909582,1428,842
125,1125.0190217391305,1432,858
126,1135.283950617284,1696,874
127,1145.8011049723757,1704,878
128,1155.544055944056,1708,878
129,1168.0930888575458,1792,882
130,1179.815864022663,1800,890
131,1193.3085714285714,1804,906
132,1205.8612716763005,1808,910
133,1221.0175953079179,1816,914
134,1235.2789317507418,1818,972
135,1249.130827067669,1820,972
136,1263.5508345978756,1836,976
137,1278.073619631902,1848,1000
138,1289.858024691358,1848,1008
139,1304.167701863354,1882,1008
140,1319.9083728278042,1890,1012
141,1337.1552,1890,1016
142,1356.2345276872963,1938,1016
143,1375.4384236453202,1938,1016
144,1391.9,1942,1024
145,1411.7747440273038,1950,1044
146,1430.4463667820069,1970,1044
147,1447.7852112676057,1970,1048
148,1466.9981981981982,1970,1108
149,1487.5176252319109,1974,1130
150,1501.783985102421,1974,1134
151,1516.6878504672898,1978,1142
152,1531.8095238095239,1990,1156
153,1550.1793372319687,1998,1160
154,1568.090909090909,2004,1176
155,1581.6846307385229,2068,1184
156,1601.595918367347,2072,1184
157,1620.9604989604989,2084,1186
158,1636.2976939203354,2100,1204
159,1653.9533898305085,2100,1216
160,1670.1413276231262,2116,1220
161,1687.6695652173912,2124,1228
162,1702.25,2128,1236
163,1715.924778761062,2132,1256
164,1728.5580357142858,2168,1256
165,1745.7625570776256,2176,1260
166,1760.5852534562212,2180,1264
167,1779.5023474178404,2184,1272
168,1794.8076009501187,2214,1282
169,1806.1866028708134,2230,1282
170,1821.7572815533981,2234,1290
171,1839.3906633906633,2238,1298
172,1850.863523573201,2242,1302
173,1867.0025316455697,2242,1310
174,1878.1370558375634,2250,1314
175,1892.5,2266,1394
176,1904.2331606217617,2302,1402
177,1916.6020942408377,2310,1426
178,1928.5646437994724,2326,1430
179,1939.8609625668448,2330,1438
180,1958.805479452055,2334,1516
181,1970.9055555555556,2334,1520
182,1981.137254901961,2338,1524
183,1992.5,2346,1598
184,2001.1942857142858,2350,1598
185,2009.6685714285713,2350,1598
186,2019.4383954154728,2378,1618
187,2028.8333333333333,2404,1650
188,2038.748538011696,2408,1650
189,2049.0207715133533,2412,1654
190,2058.5329341317365,2412,1666
191,2069.26443768997,2428,1674
192,2080.9476923076923,2432,1690
193,2089.753086419753,2432,1690
194,2101.97507788162,2432,1706
195,2115.1365079365078,2442,1706
196,2126.6188925081433,2462,1738
197,2139.17880794702,2468,1740
198,2150.5656565656564,2484,1748
199,2160.401384083045,2520,1752
200,2171.760563380282,2576,1816
201,2185.251798561151,2580,1824
202,2196.654411764706,2588,1828
203,2208.8265682656825,2642,1840
204,2224.212121212121,2658,1856
205,2234.876923076923,2670,1856
206,2248.2450592885375,2674,1856
207,2259.582329317269,2678,1864
208,2276.5737704918033,2686,1872
209,2287.1129707112973,2702,1872
210,2299.3846153846152,2706,1872
211,2315.7973568281936,2710,1936
212,2329.5156950672645,2718,1944
213,2344.4036697247707,2718,1948
214,2357.0377358490564,2722,1952
215,2369.6019417475727,2734,1966
216,2380.107843137255,2796,1974
217,2389.6748768472908,2800,1982
218,2405.092783505155,2804,1986
219,2415.222797927461,2812,1990
220,2424.6666666666665,2820,1994
221,2432.8877005347595,2820,2010
222,2442.8216216216215,2824,2030
223,2456.021978021978,2832,2068
224,2470.982857142857,2832,2116
225,2483.9190751445085,2890,2118
226,2494.0710059171597,2894,2126
227,2503.769696969697,2894,2142
228,2516.395061728395,2900,2146
229,2527.396226415094,2904,2150
230,2536.5822784810125,2910,2154
231,2541.9194630872485,2918,2162
232,2551.7123287671234,2976,2178
233,2561.751724137931,3000,2182
234,2569.9432624113474,3000,2294
235,2579.0882352941176,3032,2296
236,2590.2556390977443,3036,2304
237,2597.9846153846156,3036,2312
238,2605.3543307086616,3040,2312
239,2612.031746031746,3040,2312
240,2621.4754098360654,3040,2316
241,2629.6363636363635,3056,2324
242,2636.817391304348,3072,2336
243,2646.0353982300885,3072,2340
244,2656.2181818181816,3268,2344
245,2670.2156862745096,3276,2352
246,2682.4356435643563,3292,2352
247,2697.7373737373737,3550,2356
248,2712.021739130435,3594,2362
249,2723.0561797752807,3594,2370
250,2736.5476190476193,3598,2386
251,2752.2025316455697,3606,2422
252,2768.128205128205,3626,2454
253,2780.4,3630,2462
254,2799.7567567567567,3736,2470
255,2828.3661971830984,3736,2474
256,2840.714285714286,3736,2476
257,2864.6875,3736,2480
258,2891.5333333333333,3740,2484
259,2909.2631578947367,3744,2484
260,2964.153846153846,3748,2488
261,2982.470588235294,3772,2504
262,2988.24,3780,2504
263,3022.3333333333335,3788,2512
264,3035.875,3804,2516
265,3056.808510638298,3820,2520
266,3115.911111111111,4180,2570
267,3161.5238095238096,4180,2574
268,3208.731707317073,4192,2652
269,3241.74358974359,4192,2720
270,3252.8205128205127,4196,2724
271,3260.842105263158,4196,2778
272,3274.5263157894738,4200,2780
273,3299.891891891892,4212,2788
274,3361.1176470588234,4236,2788
275,3389.032258064516,4252,2792
276,3396.8387096774195,4256,2800
277,3400.451612903226,4256,2804
278,3408.967741935484,4264,2808
279,3471.0,4268,2938
280,3477.1428571428573,4272,2942
281,3506.5714285714284,4272,2942
282,3534.5925925925926,4280,2946
283,3550.5384615384614,4280,2950
284,3570.0,4284,2958
285,3585.846153846154,4296,2978
286,3622.16,4312,2982
287,3672.5,4344,3018
288,3680.0833333333335,4348,3022
289,3687.4166666666665,4356,3030
290,3693.1666666666665,4360,3034
291,3701.6666666666665,4360,3038
292,3710.75,4360,3054
293,3728.9565217391305,4376,3088
294,3748.909090909091,4400,3102
295,3757.2727272727275,4448,3110
296,3775.0476190476193,4512,3126
297,3784.4761904761904,4516,3126
298,3793.0476190476193,4520,3130
299,3797.809523809524,4536,3130
300,3829.0526315789475,4536,3132
301,3834.4210526315787,4540,3140
302,3867.6666666666665,4544,3140
303,3872.3333333333335,4544,3140
304,3880.777777777778,4544,3142
305,3888.4444444444443,4544,3146
306,3911.1111111111113,4548,3154
307,3959.294117647059,4552,3198
308,3965.176470588235,4564,3206
309,4029.5,4564,3652
310,4037.25,4564,3660
311,4046.125,4568,3660
312,4057.875,4572,3676
313,4072.0,4580,3684
314,4092.133333333333,4596,3684
315,4100.533333333334,4628,3688
316,4112.4,4632,3690
317,4126.133333333333,4632,3698
318,4157.571428571428,4636,3708
319,4167.285714285715,4644,3708
320,4184.923076923077,4652,3712
321,4191.692307692308,4656,3720
322,4201.846153846154,4660,3736
323,4214.461538461538,4660,3738
324,4224.307692307692,4676,3744
325,4186.909090909091,4526,3744
326,4193.636363636364,4526,3744
327,4207.818181818182,4530,3744
328,4223.818181818182,4538,3748
329,4274.6,4542,4026
330,4280.6,4546,4026
331,4291.0,4550,4026
332,4301.2,4562,4030
333,4306.8,4586,4034
334,4316.8,4602,4034
335,4327.4,4634,4034
336,4338.0,4642,4034
337,4342.8,4662,4038
338,4352.2,4670,4042
339,4355.8,4670,4050
340,4359.4,4670,4054
341,4370.4,4674,4070
342,4362.666666666667,4676,4070
343,4340.75,4676,4070
344,4350.0,4676,4074
345,4356.25,4676,4074
346,4404.285714285715,4678,4234
347,4401.0,4682,4238
348,4406.333333333333,4686,4242
349,4408.333333333333,4690,4242
350,4415.333333333333,4700,4246
351,4418.0,4700,4246
352,4423.666666666667,4700,4250
353,4414.4,4700,4262
354,4421.2,4702,4270
355,4441.5,4706,4270
356,4453.5,4730,4290
357,4488.0,4732,4294
358,4538.666666666667,4740,4310
359,4542.666666666667,4744,4314
360,4548.0,4744,4326
361,4557.333333333333,4744,4326
362,4560.0,4748,4326
363,4562.0,4752,4326
364,4568.666666666667,4764,4326
365,4580.0,4796,4328
366,4584.0,4800,4332
367,4587.333333333333,4802,4336
368,4592.0,4810,4338
369,4723.0,4814,4632
370,4727.0,4814,4640
