Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]",down,2
2,4,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left,4
3,4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0]",down,4
4,4,"[2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,4
5,8,"[2, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,4
6,16,"[2, 0, 0, 8, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,20,"[2, 8, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",left,8
8,20,"[2, 8, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",left,8
9,24,"[0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0]",right,8
10,30,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 4, 8]",down,8
11,38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 4, 16]",down,16
12,38,"[2, 0, 4, 2, 0, 0, 0, 16, 0, 0, 2, 0, 0, 0, 0, 0]",up,16
13,38,"[2, 2, 4, 2, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
14,42,"[4, 4, 2, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",left,16
15,50,"[8, 2, 2, 0, 2, 16, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,16
16,54,"[8, 2, 2, 0, 4, 16, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
17,58,"[0, 0, 8, 4, 0, 4, 16, 4, 2, 0, 0, 0, 0, 0, 0, 0]",right,16
18,66,"[2, 4, 8, 8, 0, 0, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,16
19,82,"[2, 4, 16, 0, 16, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left,16
20,86,"[2, 4, 16, 0, 16, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",up,16
21,86,"[0, 0, 0, 0, 2, 2, 0, 0, 16, 4, 0, 0, 4, 2, 16, 0]",down,16
22,90,"[0, 0, 0, 0, 4, 0, 0, 0, 16, 4, 2, 0, 4, 2, 16, 0]",left,16
23,90,"[4, 4, 2, 0, 16, 2, 16, 0, 4, 2, 0, 0, 0, 0, 0, 0]",up,16
24,98,"[8, 2, 0, 2, 16, 2, 16, 0, 4, 2, 0, 0, 0, 0, 0, 0]",left,16
25,102,"[0, 0, 8, 4, 0, 16, 2, 16, 2, 0, 4, 2, 0, 0, 0, 0]",right,16
26,102,"[0, 0, 0, 0, 0, 0, 8, 4, 0, 4, 2, 16, 2, 16, 4, 2]",down,16
27,102,"[0, 0, 0, 0, 8, 4, 2, 0, 4, 2, 16, 0, 2, 16, 4, 2]",left,16
28,102,"[0, 0, 0, 0, 0, 8, 4, 2, 2, 4, 2, 16, 2, 16, 4, 2]",right,16
29,104,"[0, 0, 0, 0, 0, 8, 4, 2, 2, 4, 2, 16, 4, 16, 4, 2]",down,16
30,104,"[2, 8, 4, 2, 4, 4, 2, 16, 0, 16, 4, 2, 0, 0, 2, 0]",up,16
31,112,"[2, 8, 4, 2, 0, 8, 2, 16, 0, 16, 4, 2, 0, 2, 0, 2]",right,16
32,122,"[0, 2, 0, 0, 0, 16, 4, 2, 0, 16, 2, 16, 2, 2, 4, 4]",down,16
33,154,"[2, 2, 4, 2, 0, 32, 2, 16, 0, 2, 4, 4, 0, 0, 0, 2]",up,32
34,166,"[4, 4, 2, 0, 32, 2, 16, 0, 2, 8, 0, 2, 2, 0, 0, 0]",left,32
35,174,"[0, 2, 8, 2, 0, 32, 2, 16, 0, 2, 8, 2, 0, 0, 0, 2]",right,32
36,176,"[0, 0, 4, 0, 0, 2, 8, 2, 0, 32, 2, 16, 0, 2, 8, 4]",down,32
37,176,"[0, 2, 4, 2, 0, 32, 8, 16, 2, 2, 2, 4, 0, 0, 8, 0]",up,32
38,180,"[2, 4, 2, 0, 32, 8, 16, 0, 4, 2, 4, 0, 8, 0, 0, 2]",left,32
39,180,"[2, 4, 2, 2, 32, 8, 16, 0, 4, 2, 4, 2, 8, 0, 0, 0]",up,32
40,182,"[2, 0, 0, 0, 32, 4, 2, 0, 4, 8, 16, 2, 8, 2, 4, 4]",down,32
41,190,"[2, 0, 0, 0, 32, 4, 2, 0, 4, 8, 16, 2, 8, 2, 8, 2]",left,32
42,194,"[2, 4, 2, 4, 32, 8, 16, 2, 4, 2, 8, 0, 8, 0, 0, 0]",up,32
43,194,"[2, 4, 2, 4, 32, 8, 16, 2, 0, 4, 2, 8, 0, 2, 0, 8]",right,32
44,202,"[0, 4, 2, 0, 0, 8, 2, 4, 2, 4, 16, 2, 32, 2, 2, 16]",down,32
45,206,"[4, 2, 2, 0, 8, 2, 4, 0, 2, 4, 16, 2, 32, 4, 16, 0]",left,32
46,228,"[4, 0, 0, 0, 8, 2, 2, 0, 2, 4, 4, 0, 32, 8, 32, 2]",down,32
47,240,"[0, 0, 0, 4, 0, 2, 8, 4, 0, 0, 2, 8, 32, 8, 32, 2]",right,32
48,244,"[2, 0, 0, 0, 0, 0, 8, 8, 0, 2, 2, 8, 32, 8, 32, 2]",down,32
49,252,"[0, 0, 0, 2, 0, 0, 8, 0, 2, 2, 2, 16, 32, 8, 32, 2]",down,32
50,256,"[2, 0, 0, 0, 8, 0, 0, 2, 4, 2, 16, 0, 32, 8, 32, 2]",left,32
51,258,"[2, 0, 0, 0, 8, 0, 0, 0, 4, 2, 16, 2, 32, 8, 32, 4]",down,32
52,258,"[0, 0, 0, 2, 2, 0, 0, 8, 4, 2, 16, 2, 32, 8, 32, 4]",right,32
53,258,"[2, 2, 16, 2, 4, 8, 32, 8, 32, 0, 2, 2, 0, 0, 0, 4]",up,32
54,266,"[0, 4, 16, 2, 4, 8, 32, 8, 0, 2, 32, 4, 0, 0, 0, 4]",right,32
55,338,"[4, 4, 16, 2, 0, 8, 64, 8, 0, 2, 0, 8, 0, 0, 0, 2]",up,64
56,354,"[4, 4, 16, 2, 0, 8, 64, 16, 0, 2, 0, 2, 0, 0, 0, 2]",up,64
57,366,"[0, 8, 16, 2, 0, 8, 64, 16, 0, 0, 0, 4, 0, 4, 0, 2]",right,64
58,374,"[2, 0, 0, 2, 0, 0, 0, 16, 0, 16, 16, 4, 0, 4, 64, 2]",down,64
59,410,"[2, 0, 0, 4, 0, 0, 0, 16, 0, 0, 32, 4, 0, 4, 64, 2]",right,64
60,410,"[2, 4, 32, 4, 0, 0, 64, 16, 0, 0, 0, 4, 2, 0, 0, 2]",up,64
61,414,"[4, 4, 32, 4, 0, 0, 64, 16, 2, 0, 0, 4, 0, 0, 0, 2]",up,64
62,422,"[8, 32, 4, 0, 64, 16, 0, 0, 2, 4, 0, 0, 2, 2, 0, 0]",left,64
63,426,"[0, 8, 32, 4, 0, 0, 64, 16, 0, 0, 2, 4, 0, 0, 2, 4]",right,64
64,432,"[0, 0, 0, 0, 0, 0, 32, 4, 0, 2, 64, 16, 0, 8, 4, 8]",down,64
65,432,"[0, 2, 32, 4, 0, 8, 64, 16, 2, 0, 4, 8, 0, 0, 0, 0]",up,64
66,432,"[2, 2, 32, 4, 0, 8, 64, 16, 0, 0, 4, 8, 0, 0, 0, 2]",up,64
67,436,"[4, 32, 4, 0, 8, 64, 16, 0, 4, 8, 0, 2, 2, 0, 0, 0]",left,64
68,436,"[0, 4, 32, 4, 0, 8, 64, 16, 2, 4, 8, 2, 0, 0, 0, 2]",right,64
69,438,"[0, 4, 0, 0, 0, 4, 32, 4, 0, 8, 64, 16, 2, 4, 8, 4]",down,64
70,442,"[0, 0, 2, 0, 0, 8, 32, 4, 0, 8, 64, 16, 2, 4, 8, 4]",down,64
71,458,"[2, 16, 2, 4, 0, 4, 32, 16, 2, 0, 64, 4, 0, 0, 8, 0]",up,64
72,460,"[0, 0, 2, 2, 0, 0, 32, 4, 0, 16, 64, 16, 4, 4, 8, 4]",down,64
73,472,"[4, 0, 2, 0, 32, 4, 0, 0, 16, 64, 16, 0, 8, 8, 4, 0]",left,64
74,488,"[0, 0, 4, 2, 0, 0, 32, 4, 0, 16, 64, 16, 2, 0, 16, 4]",right,64
75,488,"[4, 2, 0, 0, 32, 4, 0, 0, 16, 64, 16, 2, 2, 16, 4, 0]",left,64
