Move,mean,max,min
1,0.0,0,0
2,1.2093023255813953,8,0
3,3.2578361981799797,12,0
4,5.464105156723964,12,0
5,9.57128412537917,16,0
6,13.13447927199191,24,0
7,15.933265925176947,40,2
8,19.12841253791709,40,2
9,23.74721941354904,48,6
10,29.803842264914053,52,10
11,35.71284125379171,56,12
12,41.41354903943377,60,16
13,46.404448938321536,64,16
14,50.74823053589484,68,22
15,55.16076845298281,80,26
16,59.73913043478261,112,28
17,65.21739130434783,124,30
18,71.56117290192114,128,42
19,78.1314459049545,132,48
20,85.70677451971689,140,48
21,92.64509605662285,144,50
22,99.62145748987854,160,50
23,106.86032388663968,164,54
24,114.27935222672065,168,62
25,122.18016194331983,184,66
26,129.11133603238866,188,70
27,135.8502024291498,188,80
28,142.0931174089069,188,80
29,148.6315789473684,220,92
30,155.2914979757085,222,94
31,161.78744939271255,252,96
32,168.2834008097166,280,98
33,174.56882591093117,308,114
34,181.10728744939271,312,118
35,189.02226720647772,326,122
36,196.9574898785425,326,126
37,205.37044534412956,346,130
38,214.24316109422492,346,134
39,223.9452887537994,350,138
40,233.60081053698076,368,150
41,242.73353596757852,368,154
42,252.15197568389058,368,158
43,262.0790273556231,386,162
44,272.04052684903746,386,166
45,282.6342451874367,422,170
46,293.39209726443767,430,178
47,303.03951367781156,434,182
48,313.710233029382,434,190
49,322.69908814589667,440,196
50,332.2168186423506,448,198
51,340.6909827760892,452,214
52,348.70719351570415,468,226
53,357.5740365111562,472,226
54,366.12170385395535,492,226
55,374.19086294416246,492,236
56,382.45888324873096,496,244
57,391.64060913705583,504,246
58,400.31269035532995,504,250
59,408.2477157360406,512,266
60,416.5406504065041,610,276
61,424.17497456765005,622,290
62,431.5218718209563,630,290
63,439.3652085452696,672,294
64,447.38758901322484,718,306
65,455.42421159715155,720,308
66,463.15564598168874,728,326
67,471.7884028484232,728,356
68,481.081466395112,738,358
69,491.0855397148676,746,358
70,501.35102040816327,776,358
71,511.6714285714286,780,360
72,521.6996935648621,800,364
73,534.9938650306749,804,368
74,546.7622950819672,812,380
75,560.4738461538461,832,400
76,573.652977412731,840,408
77,585.488706365503,876,412
78,598.6036960985626,888,416
79,609.8825952626158,892,436
80,621.058702368692,892,436
81,633.2976313079299,900,460
82,645.7683557394002,920,460
83,657.98755186722,952,464
84,671.2494802494803,956,480
85,684.86875,956,486
86,697.3639207507821,968,490
87,709.2129436325679,972,490
88,720.4100418410042,980,498
89,732.1848739495798,980,498
90,743.2291446673706,984,506
91,755.6761904761905,992,510
92,767.2765957446809,1012,526
93,778.8931623931624,1012,540
94,788.9635974304068,1012,544
95,800.135775862069,1016,556
96,810.9545454545455,1038,562
97,821.7606093579979,1068,566
98,834.1340659340659,1068,566
99,844.3102310231023,1082,570
100,857.2031076581576,1086,570
101,866.6755555555555,1104,590
102,877.125,1108,598
103,887.7213483146068,1118,614
104,898.5559322033898,1120,614
105,909.5633484162896,1128,660
106,919.9727272727273,1136,666
107,930.2457337883959,1150,682
108,941.4840182648402,1178,686
109,951.0973654066438,1188,702
110,961.6559633027523,1196,706
111,972.9516129032259,1204,706
112,984.8491879350348,1220,738
113,995.5571095571096,1220,740
114,1005.9251461988304,1224,752
115,1014.6705744431418,1230,754
116,1025.1778563015312,1236,754
117,1035.8056872037914,1256,758
118,1045.2267303102626,1264,804
119,1055.7458033573141,1264,808
120,1065.4866828087168,1268,808
121,1073.616504854369,1374,824
122,1082.8180708180707,1508,828
123,1092.5492610837439,1512,856
124,1100.9443757725587,1608,868
125,1109.350811485643,1612,876
126,1118.010152284264,1620,884
127,1128.4713375796177,1640,888
128,1139.1773778920308,1644,892
129,1150.4467532467534,1644,904
130,1161.4128440366972,1650,908
131,1173.8701986754968,1788,910
132,1185.5146666666667,1792,918
133,1198.8963660834454,1796,934
134,1210.7642276422764,1818,938
135,1223.6803278688524,1820,970
136,1237.4807692307693,1828,1010
137,1252.9652294853963,1844,1010
138,1266.3887323943661,1848,1018
139,1282.3737517831669,1882,1028
140,1298.3942028985507,1890,1032
141,1314.590308370044,1890,1032
142,1331.497005988024,1938,1036
143,1347.490909090909,1938,1036
144,1365.682098765432,1942,1040
145,1385.1936507936507,1950,1070
146,1397.8555377207063,1970,1074
147,1417.2565789473683,1970,1114
148,1433.744537815126,1970,1122
149,1451.7353951890034,1974,1124
150,1470.3706293706293,1974,1134
151,1485.1760563380283,1978,1142
