Move,mean,max,min
1,0.0,0,0
2,0.73,4,0
3,2.36,12,0
4,4.22,12,0
5,7.39,16,0
6,10.65,24,0
7,14.0,40,4
8,17.3,40,4
9,21.51,44,4
10,27.21,50,6
11,31.69,56,12
12,36.97,60,12
13,42.38,64,12
14,48.08,80,22
15,52.71,116,26
16,57.6,116,28
17,63.63,120,30
18,71.44,126,32
19,80.19,132,32
20,88.96,140,42
21,97.69,148,54
22,105.85,148,54
23,113.35,150,62
24,120.14,162,66
25,126.91,166,72
26,134.21,170,88
27,140.42,178,92
28,146.33,182,94
29,151.1,196,100
30,158.24,202,104
31,164.72,218,108
32,171.87,272,120
33,180.74,294,128
34,190.61,308,128
35,201.91,314,130
36,214.57,316,132
37,232.39,320,140
38,246.12,342,140
39,259.6,346,140
40,272.97,348,154
41,284.2,356,162
42,292.4,356,176
43,301.78,364,180
44,309.72,388,180
45,317.95,396,188
46,325.8,402,202
47,335.08,406,226
48,343.6,414,258
49,351.6,414,260
50,357.77,422,268
51,365.66,428,288
52,374.37,428,290
53,382.89,448,294
54,390.83,452,302
55,396.39,452,306
56,402.84,460,314
57,408.2,460,314
58,414.7,464,322
59,421.0,472,348
60,427.3,484,348
61,434.3,508,348
62,442.92,548,348
63,452.58,676,350
64,463.32,678,354
65,475.44,722,358
66,492.18,734,370
67,510.69,742,382
68,530.54,742,390
69,551.98,746,390
70,573.7,756,394
71,595.35,762,394
72,613.92,766,398
73,636.48,770,398
74,653.63,782,398
75,667.95,790,446
76,682.59,806,454
77,697.79,828,484
78,711.33,828,488
79,725.7,836,498
80,737.22,842,506
81,746.89,842,522
82,756.31,852,526
83,762.2,864,526
84,770.23,864,538
85,777.88,866,550
86,786.57,878,554
87,793.58,884,574
88,800.17,896,574
89,807.61,912,574
90,814.76,948,584
91,821.6,952,592
92,829.26,952,596
93,839.26,958,650
94,849.01,1022,662
95,858.72,1022,670
96,869.58,1030,686
97,881.28,1034,686
98,892.56,1040,690
99,903.96,1044,698
100,915.58,1068,734
101,927.45,1084,756
102,936.87,1088,766
103,947.43,1088,766
104,957.07,1088,770
105,967.42,1092,786
106,976.46,1124,790
107,986.71,1128,798
108,993.42,1128,798
109,1003.04,1130,802
110,1012.13,1150,838
111,1019.96,1150,838
112,1027.84,1150,868
113,1036.31,1160,892
114,1044.59,1162,914
115,1051.94,1162,922
116,1058.96,1172,924
117,1065.05,1188,936
118,1072.98,1226,944
119,1081.09,1258,952
120,1089.92,1526,962
121,1098.99,1542,966
122,1108.26,1542,970
123,1122.5,1630,970
124,1136.33,1638,970
125,1151.47,1640,976
126,1170.88,1656,988
127,1193.36,1658,1000
128,1220.22,1662,1004
129,1239.7,1696,1020
130,1266.79,1704,1042
131,1294.06,1706,1054
132,1332.87,1736,1054
133,1363.22,1738,1062
134,1395.53,1738,1064
135,1427.38,1748,1064
136,1459.87,1748,1074
137,1488.86,1784,1074
138,1515.54,1792,1090
139,1540.2713567839196,1794,1094
140,1561.175879396985,1794,1094
141,1580.964824120603,1802,1162
142,1601.145728643216,1818,1170
143,1617.0150753768844,1822,1174
144,1629.3266331658292,1838,1182
145,1642.3819095477386,1838,1194
146,1655.4874371859296,1842,1240
147,1665.1959798994974,1854,1240
148,1675.4572864321608,1858,1248
149,1683.3366834170854,1858,1264
150,1693.3467336683418,1874,1298
151,1704.1909547738694,1932,1330
152,1715.8090452261306,1932,1334
153,1729.4371859296482,1974,1334
154,1742.0100502512562,1974,1398
155,1753.0753768844222,1982,1402
156,1765.3165829145728,1986,1414
157,1778.2412060301508,1990,1416
158,1788.964824120603,1990,1442
159,1801.8492462311558,2008,1442
160,1811.2261306532664,2010,1442
161,1820.824120603015,2014,1446
162,1830.2211055276382,2034,1458
163,1840.894472361809,2066,1462
164,1849.5577889447236,2068,1470
165,1859.1959798994974,2076,1486
166,1866.7035175879396,2078,1486
167,1875.4170854271356,2080,1490
168,1883.427135678392,2080,1554
169,1891.2261306532664,2080,1656
170,1901.2562814070352,2084,1658
171,1908.8040201005026,2094,1662
172,1917.3668341708542,2120,1662
