Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]",down,2
2,0,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,2
3,4,"[0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
4,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 4, 0]",down,4
5,14,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 8, 0, 0, 0]",left,8
6,14,"[0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8]",right,8
7,18,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 2, 8, 0, 0, 0, 0]",up,8
8,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 2, 8]",down,8
9,42,"[0, 0, 4, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
10,42,"[0, 0, 4, 16, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
11,42,"[2, 0, 4, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
12,42,"[2, 4, 16, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,16
13,46,"[4, 4, 16, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
14,48,"[0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 2, 4, 16, 4]",down,16
15,48,"[0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 2, 4, 16, 4]",right,16
16,56,"[2, 2, 16, 8, 0, 4, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
17,60,"[4, 2, 16, 8, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0]",up,16
18,68,"[4, 2, 16, 8, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4]",right,16
19,84,"[4, 2, 16, 16, 2, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0]",up,16
20,88,"[4, 4, 16, 16, 2, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
21,132,"[0, 0, 8, 32, 2, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right,32
22,140,"[0, 0, 8, 32, 0, 0, 2, 8, 0, 0, 4, 0, 0, 0, 0, 0]",right,32
23,140,"[0, 0, 8, 32, 0, 0, 2, 8, 0, 2, 0, 4, 0, 0, 0, 0]",right,32
24,140,"[8, 32, 0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 0, 2, 0]",left,32
25,140,"[0, 2, 8, 32, 0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 2]",right,32
26,144,"[2, 2, 8, 32, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 2]",up,32
27,148,"[4, 8, 32, 2, 4, 8, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left,32
28,172,"[8, 16, 32, 2, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",up,32
29,176,"[8, 16, 32, 2, 4, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",left,32
30,184,"[8, 16, 32, 2, 8, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,32
31,204,"[16, 16, 32, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
32,236,"[0, 32, 32, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2]",right,32
33,238,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 32, 4, 0, 32, 2, 4]",down,32
34,246,"[0, 32, 32, 2, 0, 0, 2, 8, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
35,310,"[64, 2, 0, 0, 2, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",left,64
36,314,"[0, 0, 64, 2, 0, 0, 2, 8, 0, 0, 0, 4, 0, 0, 0, 2]",right,64
37,314,"[0, 2, 0, 2, 0, 0, 0, 8, 0, 0, 64, 4, 0, 0, 2, 2]",down,64
38,322,"[0, 0, 0, 4, 0, 0, 2, 8, 0, 0, 64, 4, 0, 0, 0, 4]",right,64
39,330,"[0, 0, 2, 4, 0, 0, 64, 8, 0, 0, 0, 8, 0, 0, 2, 0]",up,64
40,346,"[0, 0, 2, 4, 0, 0, 64, 16, 0, 2, 2, 0, 0, 0, 0, 0]",up,64
41,350,"[0, 0, 2, 4, 0, 0, 64, 16, 0, 0, 0, 4, 0, 0, 2, 0]",right,64
42,350,"[0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 64, 16, 0, 2, 2, 4]",down,64
43,354,"[0, 0, 0, 0, 4, 0, 2, 4, 0, 0, 64, 16, 0, 0, 4, 4]",right,64
44,354,"[0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 64, 16, 4, 0, 4, 4]",down,64
45,362,"[2, 0, 0, 0, 2, 4, 4, 0, 64, 16, 0, 0, 8, 4, 0, 0]",left,64
46,364,"[0, 0, 0, 0, 4, 4, 2, 0, 64, 16, 0, 0, 8, 4, 4, 0]",down,64
47,380,"[0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 64, 16, 2, 0, 8, 8]",right,64
48,396,"[0, 0, 0, 0, 0, 2, 8, 2, 0, 0, 64, 16, 0, 0, 2, 16]",right,64
49,412,"[0, 0, 0, 0, 0, 2, 8, 0, 0, 0, 64, 2, 0, 2, 2, 32]",down,64
50,414,"[0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 64, 2, 0, 4, 2, 32]",down,64
51,414,"[0, 2, 0, 0, 0, 0, 8, 0, 0, 0, 64, 2, 2, 4, 2, 32]",down,64
52,414,"[2, 2, 8, 2, 0, 4, 64, 32, 0, 4, 2, 0, 0, 0, 0, 0]",up,64
53,418,"[0, 4, 8, 2, 0, 4, 64, 32, 0, 0, 4, 2, 0, 0, 2, 0]",right,64
54,418,"[4, 8, 2, 2, 4, 64, 32, 0, 4, 2, 0, 0, 2, 0, 0, 0]",left,64
55,422,"[2, 4, 8, 4, 0, 4, 64, 32, 0, 0, 4, 2, 0, 0, 0, 2]",right,64
56,434,"[2, 8, 8, 4, 0, 0, 64, 32, 0, 0, 4, 4, 0, 0, 2, 0]",up,64
57,434,"[0, 2, 8, 0, 0, 0, 64, 4, 0, 0, 4, 32, 2, 8, 2, 4]",down,64
58,434,"[0, 2, 8, 0, 0, 0, 64, 4, 0, 2, 4, 32, 2, 8, 2, 4]",down,64
59,434,"[0, 0, 2, 8, 2, 0, 64, 4, 0, 2, 4, 32, 2, 8, 2, 4]",right,64
60,438,"[4, 2, 2, 8, 0, 8, 64, 4, 0, 0, 4, 32, 2, 0, 2, 4]",up,64
61,446,"[2, 4, 4, 8, 0, 8, 64, 4, 0, 0, 4, 32, 0, 0, 4, 4]",right,64
62,462,"[2, 8, 8, 0, 8, 64, 4, 2, 4, 32, 0, 0, 8, 0, 0, 0]",left,64
63,478,"[0, 0, 2, 16, 8, 64, 4, 2, 0, 0, 4, 32, 0, 0, 2, 8]",right,64
64,486,"[8, 64, 2, 16, 0, 0, 8, 2, 0, 2, 2, 32, 0, 0, 0, 8]",up,64
65,490,"[8, 64, 2, 16, 0, 0, 8, 2, 0, 0, 4, 32, 0, 2, 0, 8]",right,64
66,490,"[8, 64, 2, 16, 0, 2, 8, 2, 0, 0, 4, 32, 0, 0, 2, 8]",right,64
67,490,"[0, 0, 2, 16, 0, 2, 8, 2, 0, 64, 4, 32, 8, 2, 2, 8]",down,64
68,494,"[2, 16, 0, 0, 2, 8, 2, 2, 64, 4, 32, 0, 8, 4, 8, 0]",left,64
69,500,"[0, 0, 0, 0, 4, 16, 2, 0, 64, 8, 32, 2, 8, 8, 8, 2]",down,64
70,510,"[0, 0, 0, 2, 4, 0, 2, 0, 64, 16, 32, 0, 8, 16, 8, 4]",down,64
71,542,"[4, 32, 2, 2, 64, 0, 32, 4, 8, 0, 8, 0, 0, 0, 0, 2]",up,64
72,542,"[0, 0, 0, 0, 4, 0, 2, 2, 64, 2, 32, 4, 8, 32, 8, 2]",down,64
73,542,"[4, 2, 2, 2, 64, 32, 32, 4, 8, 0, 8, 2, 4, 0, 0, 0]",up,64
74,626,"[4, 4, 2, 0, 64, 64, 4, 0, 16, 2, 0, 0, 4, 0, 2, 0]",left,64
75,762,"[0, 0, 8, 2, 0, 2, 128, 4, 0, 0, 16, 2, 0, 0, 4, 2]",right,128
76,766,"[0, 2, 8, 2, 0, 0, 128, 4, 0, 0, 16, 4, 0, 2, 4, 0]",up,128
77,772,"[0, 0, 8, 0, 0, 0, 128, 0, 2, 0, 16, 2, 0, 4, 4, 8]",down,128
78,772,"[0, 0, 8, 0, 2, 0, 128, 0, 0, 0, 16, 2, 2, 4, 4, 8]",down,128
79,780,"[0, 0, 0, 8, 0, 0, 2, 128, 0, 0, 16, 2, 2, 2, 8, 8]",right,128
80,800,"[0, 0, 0, 8, 0, 0, 2, 128, 0, 0, 16, 2, 2, 0, 4, 16]",right,128
81,800,"[8, 0, 0, 0, 2, 128, 0, 0, 16, 2, 2, 0, 2, 4, 16, 0]",left,128
82,804,"[8, 0, 0, 0, 2, 128, 4, 0, 16, 4, 0, 0, 2, 4, 16, 0]",left,128
83,804,"[0, 2, 0, 8, 0, 2, 128, 4, 0, 0, 16, 4, 0, 2, 4, 16]",right,128
84,816,"[0, 4, 128, 8, 0, 2, 16, 8, 0, 0, 4, 16, 0, 2, 0, 0]",up,128
85,836,"[0, 4, 128, 16, 0, 4, 16, 16, 0, 0, 4, 0, 2, 0, 0, 0]",up,128
86,868,"[0, 4, 128, 16, 0, 0, 4, 32, 4, 0, 0, 4, 0, 0, 0, 2]",right,128
87,876,"[4, 128, 16, 0, 4, 32, 0, 0, 8, 0, 2, 0, 2, 0, 0, 0]",left,128
88,876,"[4, 128, 16, 0, 4, 32, 2, 0, 8, 2, 0, 0, 2, 0, 0, 0]",left,128
89,884,"[8, 128, 16, 0, 8, 32, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0]",up,128
90,892,"[0, 2, 0, 0, 0, 128, 0, 0, 16, 32, 16, 0, 2, 2, 2, 2]",down,128
91,900,"[0, 0, 0, 2, 0, 0, 0, 128, 0, 16, 32, 16, 2, 0, 4, 4]",right,128
92,908,"[0, 0, 0, 2, 0, 0, 2, 128, 0, 16, 32, 16, 0, 0, 2, 8]",right,128
93,908,"[0, 2, 0, 2, 0, 0, 2, 128, 0, 0, 32, 16, 0, 16, 2, 8]",down,128
