Move,mean,max,min
1,0.0,0,0
2,0.64,4,0
3,2.12,12,0
4,4.1,12,0
5,6.5,16,0
6,9.2,20,0
7,12.38,20,2
8,15.78,28,4
9,20.12,44,8
10,25.0,48,8
11,29.38,52,10
12,34.36,60,12
13,39.14,60,16
14,43.92,64,20
15,49.8,72,20
16,56.46,82,28
17,63.7,92,34
18,69.94,110,34
19,78.78,128,38
20,84.96,130,42
21,95.92,140,42
22,105.56,164,58
23,114.4,164,64
24,120.98,164,72
25,128.62,166,72
26,136.34,172,76
27,143.76,180,76
28,150.16,180,80
29,155.68,188,92
30,163.7,220,92
31,169.06,234,92
32,174.76,234,100
33,182.88,240,106
34,193.22,302,114
35,200.78,318,116
36,213.66,318,116
37,223.8,326,140
38,233.36,332,170
39,246.94,332,176
40,261.06,338,184
41,273.48,350,184
42,284.32,358,188
43,296.74,364,200
44,310.14,364,208
45,319.92,370,212
46,330.22,400,218
47,341.82,422,218
48,351.92,438,234
49,360.58,442,246
50,369.02,442,274
51,378.22,446,274
52,385.06,454,282
53,391.9,454,282
54,398.64,456,286
55,406.6,464,290
56,416.7,480,322
57,425.08,484,326
58,431.28,484,332
59,437.18,488,332
60,444.4,492,332
61,452.32,508,388
62,460.82,600,394
63,468.28,608,394
64,477.02,628,416
65,487.56,722,420
66,502.02,722,428
67,519.16,742,442
68,540.72,750,446
69,560.06,764,450
70,580.72,764,450
71,598.66,784,450
72,618.66,784,454
73,631.74,786,458
74,643.36,798,466
75,656.98,814,482
76,680.78,814,496
77,694.58,826,504
78,708.58,850,504
79,725.16,858,504
80,738.5,864,504
81,758.16,868,520
82,767.94,868,532
83,779.8,880,560
84,791.8,888,570
85,800.82,898,580
86,811.54,902,584
87,820.24,902,600
88,827.86,908,604
89,840.6,976,620
90,846.94,980,620
91,855.24,980,620
92,862.42,992,622
93,873.76,1018,662
94,885.16,1018,726
95,896.18,1022,730
96,905.76,1050,734
97,918.22,1058,788
98,928.32,1062,794
99,939.2,1062,796
100,946.62,1062,796
101,957.82,1070,800
102,968.08,1078,824
103,980.3,1094,824
104,991.52,1096,856
105,1003.58,1112,858
106,1015.4,1116,858
107,1027.16,1116,882
108,1037.04,1134,900
109,1043.84,1142,904
110,1052.54,1158,916
111,1061.6,1162,924
112,1070.62,1164,928
113,1078.46,1172,928
114,1086.58,1174,944
115,1095.64,1184,968
116,1101.8,1192,972
117,1109.66,1192,980
118,1117.02,1196,980
119,1124.28,1236,984
120,1132.58,1380,984
121,1141.22,1380,988
122,1150.96,1380,988
123,1161.7,1380,1008
124,1174.78,1384,1008
125,1190.62,1464,1012
126,1208.9,1678,1028
127,1221.18,1686,1028
128,1240.82,1686,1028
129,1266.56,1744,1060
130,1281.86,1752,1068
131,1298.28,1756,1068
132,1325.34,1756,1068
133,1358.42,1758,1092
134,1395.54,1768,1124
135,1418.14,1778,1154
136,1440.56,1778,1158
137,1465.36,1790,1162
138,1485.42,1810,1168
139,1513.78,1814,1170
140,1533.1,1826,1170
141,1557.56,1838,1170
142,1576.46,1838,1170
143,1586.64,1848,1172
144,1611.08,1864,1176
145,1630.36,1868,1196
146,1646.58,1872,1214
147,1658.2,1872,1218
148,1674.44,1888,1224
149,1692.96,1896,1260
150,1710.8,1904,1284
151,1730.6,1976,1284
152,1739.5,1976,1294
153,1754.76,1976,1318
154,1767.94,2028,1318
155,1778.04,2032,1326
156,1794.72,2036,1342
157,1808.44,2036,1362
