Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]",up,4
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0]",left,4
3,0,"[2, 0, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
4,4,"[4, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left,4
5,8,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 2]",down,8
6,8,"[2, 2, 0, 2, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,12,"[4, 2, 0, 0, 8, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",left,8
8,16,"[4, 4, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,8
9,20,"[4, 4, 0, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,8
10,20,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 8, 4, 2, 4]",down,8
11,20,"[4, 4, 2, 2, 8, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
12,32,"[8, 4, 0, 0, 8, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0]",left,8
13,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 16, 4, 4, 0]",down,16
14,50,"[16, 8, 2, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
15,50,"[16, 8, 2, 2, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
16,54,"[0, 16, 8, 4, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
17,62,"[0, 16, 8, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
18,62,"[0, 16, 8, 8, 0, 0, 2, 4, 0, 2, 0, 2, 0, 0, 0, 0]",up,16
19,82,"[0, 0, 16, 16, 0, 0, 2, 4, 0, 2, 0, 4, 0, 0, 0, 0]",right,16
20,90,"[0, 2, 16, 16, 2, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
21,126,"[2, 32, 0, 0, 4, 8, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",left,32
22,126,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 32, 0, 0, 4, 8, 2, 2]",down,32
23,130,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 32, 0, 4, 8, 4]",right,32
24,130,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 32, 0, 2, 4, 8, 4, 0]",left,32
25,134,"[4, 32, 4, 2, 4, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,32
26,142,"[8, 32, 4, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]",up,32
27,146,"[8, 32, 4, 4, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]",up,32
28,154,"[8, 32, 8, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0]",left,32
29,174,"[16, 32, 8, 0, 4, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,32
30,174,"[16, 32, 8, 0, 4, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
31,178,"[16, 32, 8, 0, 4, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left,32
32,178,"[16, 32, 8, 0, 4, 4, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0]",up,32
33,178,"[16, 32, 8, 2, 4, 4, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up,32
34,178,"[0, 0, 0, 2, 16, 32, 0, 0, 4, 4, 8, 0, 2, 2, 2, 2]",down,32
35,182,"[16, 32, 8, 4, 4, 4, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0]",up,32
36,184,"[0, 0, 0, 0, 16, 32, 4, 0, 4, 4, 8, 0, 2, 2, 4, 4]",down,32
37,184,"[16, 32, 4, 4, 4, 4, 8, 0, 2, 2, 4, 0, 0, 2, 0, 0]",up,32
38,204,"[16, 32, 8, 0, 8, 8, 0, 2, 4, 4, 0, 0, 2, 0, 0, 0]",left,32
39,228,"[16, 32, 8, 0, 16, 2, 0, 0, 8, 0, 2, 0, 2, 0, 0, 0]",left,32
40,260,"[32, 32, 8, 2, 8, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
41,260,"[0, 0, 0, 0, 32, 0, 0, 2, 8, 32, 8, 0, 2, 2, 2, 2]",down,32
42,264,"[32, 32, 8, 4, 8, 2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0]",up,32
43,332,"[64, 8, 4, 0, 8, 4, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0]",left,64
44,336,"[64, 8, 4, 2, 8, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",up,64
45,336,"[64, 8, 4, 2, 0, 0, 8, 4, 0, 0, 4, 2, 0, 0, 0, 2]",right,64
46,338,"[0, 0, 0, 2, 0, 0, 4, 2, 0, 0, 8, 4, 64, 8, 4, 4]",down,64
47,350,"[64, 8, 4, 4, 0, 0, 8, 8, 0, 0, 4, 2, 0, 0, 0, 0]",up,64
48,374,"[64, 8, 8, 0, 16, 0, 0, 0, 4, 2, 0, 0, 0, 0, 2, 0]",left,64
49,374,"[64, 8, 8, 2, 16, 2, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]",up,64
50,394,"[64, 16, 2, 0, 16, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left,64
51,394,"[2, 0, 0, 0, 64, 0, 0, 0, 16, 16, 0, 0, 4, 4, 2, 2]",down,64
52,394,"[2, 16, 2, 2, 64, 4, 0, 0, 16, 0, 0, 0, 4, 0, 0, 2]",up,64
