Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,2
2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]",down,2
3,0,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",up,4
4,0,"[2, 2, 2, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,4
5,0,"[2, 2, 2, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,4
6,0,"[0, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 2, 2, 2, 2]",down,4
7,4,"[2, 2, 4, 2, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",up,4
8,8,"[2, 2, 4, 2, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",up,4
9,16,"[2, 2, 4, 2, 8, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
10,24,"[2, 2, 8, 2, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
11,28,"[2, 4, 8, 2, 8, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",up,8
12,32,"[2, 4, 8, 4, 8, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
13,40,"[2, 4, 8, 8, 8, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0]",up,8
14,40,"[2, 0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 4, 4, 8, 8]",down,8
15,40,"[2, 2, 8, 8, 8, 4, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0]",up,8
16,40,"[2, 2, 8, 8, 8, 4, 2, 0, 2, 0, 0, 0, 4, 0, 0, 2]",up,8
17,40,"[2, 2, 8, 8, 8, 4, 2, 2, 2, 0, 0, 0, 4, 2, 0, 0]",up,8
18,40,"[2, 2, 8, 8, 8, 4, 2, 2, 2, 2, 0, 0, 4, 0, 2, 0]",up,8
19,44,"[2, 2, 8, 8, 8, 4, 4, 2, 2, 2, 0, 0, 4, 0, 0, 2]",up,8
20,48,"[2, 2, 8, 8, 8, 4, 4, 4, 2, 2, 0, 0, 4, 0, 2, 0]",up,8
21,48,"[2, 2, 8, 8, 8, 4, 4, 4, 2, 2, 2, 0, 4, 0, 0, 2]",up,8
