Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]",left,2
2,4,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4]",right,4
3,4,"[0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
4,8,"[0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right,4
5,16,"[0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,8
6,16,"[0, 2, 0, 8, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,20,"[0, 4, 0, 8, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
8,20,"[4, 8, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left,8
9,24,"[4, 8, 4, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
10,32,"[8, 8, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,8
11,48,"[0, 0, 16, 4, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
12,52,"[0, 4, 16, 4, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
13,60,"[2, 4, 16, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,16
14,60,"[2, 4, 16, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",right,16
15,64,"[2, 4, 16, 8, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
16,68,"[4, 4, 16, 8, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0]",up,16
17,76,"[0, 8, 16, 8, 0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0, 0]",right,16
18,84,"[4, 8, 16, 8, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
19,100,"[4, 8, 16, 16, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
20,132,"[2, 4, 8, 32, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right,32
